id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;default_on;
"2069";"FarmFresh Fenugreek Leaves - Methi";"Numbers";"1 bunch";"AA20692258";"13.500000";"18.000000";"41";"1";
"2070";"FarmFresh Chuka - Sorrel";"Numbers";"5 bunch";"AA20702056";"105.000000";"110.000000";"50";"0";
"2070";"FarmFresh Chuka - Sorrel";"Numbers";"2 bunch";"AA20702157";"40.000000";"44.000000";"50";"0";
"2070";"FarmFresh Chuka - Sorrel";"Numbers";"1 bunch";"AA20702259";"16.200000";"22.000000";"48";"1";
"2071";"FarmFresh Lal Math - Kandapat";"Numbers";"5 bunch";"AA20712057";"0.000000";"90.000000";"50";"0";
"2071";"FarmFresh Lal Math - Kandapat";"Numbers";"2 bunch";"AA20712158";"0.000000";"36.000000";"50";"0";
"2071";"FarmFresh Lal Math - Kandapat";"Numbers";"1 bunch";"AA20712260";"0.000000";"18.000000";"49";"1";
"2072";"FarmFresh Spring Onion";"Numbers";"5 bunch";"AA20722058";"72.000000";"80.000000";"50";"0";
"2072";"FarmFresh Spring Onion";"Numbers";"2 bunch";"AA20722159";"28.800000";"32.000000";"50";"0";
"2072";"FarmFresh Spring Onion";"Numbers";"1 bunch";"AA20722261";"14.400000";"16.000000";"46";"1";
"2073";"FarmFresh Dill Shepu";"Numbers";"5 bunch";"AA20732059";"63.000000";"80.000000";"50";"0";
"2073";"FarmFresh Dill Shepu";"Numbers";"2 bunch";"AA20732160";"25.200000";"32.000000";"50";"0";
"2073";"FarmFresh Dill Shepu";"Numbers";"1 bunch";"AA20732262";"12.600000";"16.000000";"50";"1";
"2074";"FarmFresh Herbal Leaves  Vidyachi Pane";"Numbers";"5 dozen";"AA20742060";"90.000000";"100.000000";"50";"0";
"2074";"FarmFresh Herbal Leaves  Vidyachi Pane";"Numbers";"2 dozen";"AA20742161";"36.000000";"40.000000";"50";"0";
"2074";"FarmFresh Herbal Leaves  Vidyachi Pane";"Numbers";"1 dozen";"AA20742263";"18.000000";"20.000000";"49";"1";
"2075";"FarmFresh Radish";"Numbers";"5 bunch";"AA20752061";"81.000000";"90.000000";"0";"0";
"2075";"FarmFresh Radish";"Numbers";"2 bunch";"AA20752162";"32.400000";"36.000000";"0";"0";
"2075";"FarmFresh Radish";"Numbers";"1 bunch";"AA20752264";"16.200000";"18.000000";"0";"1";
"2076";"FarmFresh BabyCorn";"Quantity";"1 kg";"AA20762062";"171.000000";"240.000000";"50";"0";
"2076";"FarmFresh BabyCorn";"Quantity";"200 gm";"AA20762163";"34.200000";"48.000000";"50";"0";
"2076";"FarmFresh BabyCorn";"Quantity";"100 gm";"AA20762265";"17.100000";"24.000000";"49";"1";
"2077";"FarmFresh Broccoli";"Quantity";"1 kg";"AA20772063";"216.000000";"340.000000";"50";"0";
"2077";"FarmFresh Broccoli";"Quantity";"500 gm";"AA20772164";"108.000000";"170.000000";"50";"0";
"2077";"FarmFresh Broccoli";"Quantity";"250 gm";"AA20772266";"54.000000";"85.000000";"50";"1";
"2078";"FarmFresh Red Capsicum";"Numbers";"5 pc";"AA20782064";"103.500000";"125.000000";"50";"0";
"2078";"FarmFresh Red Capsicum";"Numbers";"2 pc";"AA20782165";"41.400000";"50.000000";"50";"0";
